RecipeId,IngredientId,Quantity,IngredientName,tokens,IngredientClean,IngredientProcessed
1,1,2 củ,cà rốt,"['cà', 'rốt']",cà rốt,cà_rốt
1,2,2 củ,khoai tây,['khoai tây'],khoai tây,khoai_tây
1,3,1 miếng,bí đỏ,"['bí', 'đỏ']",bí đỏ,bí_đỏ
1,4,150 g,thịt heo,"['thịt', 'heo']",thịt heo,thịt_heo
1,5,1 cây,hành lá,"['hành', 'lá']",hành lá,hành_lá
1,6,1 ít,muối,['muối'],muối,muối
1,7,1 ít,bột ngọt,"['bột', 'ngọt']",bột ngọt,bột_ngọt
2,8,1/2 Quả,dứa,['dứa'],dứa,dứa
2,9,3 tép,tỏi,['tỏi'],tỏi,tỏi
2,10,1/2 quả,ớt,['ớt'],ớt,ớt
2,11,2 cây,sả,['sả'],sả,sả
2,12,1 chai,mắm nêm,"['mắm', 'nêm']",mắm nêm,mắm_nêm
2,13,3 Thìa,đường,['đường'],đường,đường
3,14,300 g,tép,['tép'],tép,tép
3,15,100 g,thịt heo,"['thịt', 'heo']",thịt heo,thịt_heo
3,16,30 g,hành lá,"['hành', 'lá']",hành lá,hành_lá
3,17,,gia vị,['gia vị'],gia vị,gia_vị
5,18,1 cái,đùi gà,"['đùi', 'gà']",đùi gà,đùi_gà
5,19,1 mcf,sa tế,['sa tế'],sa tế,sa_tế
5,20,1/2 mcf,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
5,21,1/2 mcf,tiêu,['tiêu'],tiêu,tiêu
7,22,300 g,thịt heo,"['thịt', 'heo']",thịt heo,thịt_heo
7,23,2 gói,rong biển,"['rong', 'biển']",rong biển,rong_biển
7,24,2 chén,cơm,['cơm'],cơm,cơm
7,25,,gia vị,['gia vị'],gia vị,gia_vị
9,26,2 cái,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
9,27,220 ml,sữa,['sữa'],sữa,sữa
9,28,2 muỗng cafe,đường,['đường'],đường,đường
10,29,100 gr,rau mầm cải ngọt,"['rau', 'mầm', 'cải ngọt']",rau mầm cải ngọt,rau_mầm_cải_ngọt
10,30,100 gr,cà chua,"['cà', 'chua']",cà chua,cà_chua
10,31,1 trái,dâu,['dâu'],dâu,dâu
10,32,1 trái,mận,['mận'],mận,mận
10,33,1 quả,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
10,34,10 quả,trứng cút,"['trứng', 'cút']",trứng cút,trứng_cút
10,35,100 gr,chanh dây,"['chanh', 'dây']",chanh dây,chanh_dây
11,36,2 miếng,đậu hũ,"['đậu', 'hũ']",đậu hũ,đậu_hũ
11,37,1 ít,rau răm,"['rau', 'răm']",rau răm,rau_răm
11,38,,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
12,39,150 gr,nấm bào ngư,"['nấm', 'bào', 'ngư']",nấm bào ngư,nấm_bào_ngư
12,40,2 quả,cà chua,"['cà', 'chua']",cà chua,cà_chua
12,41,1 muỗng cà phê,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
12,42,1 ít,muối,['muối'],muối,muối
12,43,1 ít,đường,['đường'],đường,đường
12,44,1 ít,hành lá,"['hành', 'lá']",hành lá,hành_lá
13,45,1 trái,bắp ngọt,"['bắp', 'ngọt']",bắp ngọt,bắp_ngọt
13,46,Ít,tóp mỡ,"['tóp', 'mỡ']",tóp mỡ,tóp_mỡ
13,47,2 trái,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
13,48,10 g,hành lá,"['hành', 'lá']",hành lá,hành_lá
13,49,,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
14,50,500 gr,cá bớp,"['cá', 'bớp']",cá bớp,cá_bớp
14,51,1 nắm,rau muống,['rau muống'],rau muống,rau_muống
14,52,1 nắm,bắp chuối,"['bắp', 'chuối']",bắp chuối,bắp_chuối
14,53,1 nắm,kèo nèo,"['kèo', 'nèo']",kèo nèo,kèo_nèo
14,54,1 trái,cà chua,"['cà', 'chua']",cà chua,cà_chua
14,55,1 nắm,rau nhút,"['rau', 'nhút']",rau nhút,rau_nhút
14,56,1 ít,rau ngổ,"['rau', 'ngổ']",rau ngổ,rau_ngổ
14,57,1 ít,ngò gai,"['ngò', 'gai']",ngò gai,ngò_gai
14,58,1 vắt,Tôi,['Tôi'],Tôi,Tôi
14,59,1 tbsp,tỏi,['tỏi'],tỏi,tỏi
14,60,3-4 lát,ớt,['ớt'],ớt,ớt
14,61,,muối,['muối'],muối,muối
14,62,,đường,['đường'],đường,đường
14,63,,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
