StepImageId,StepId,ImageUrl
1,1,https://img-global.cpcdn.com/steps/c10b272b6a48b48a/160x128cq80/canh-ca-r%E1%BB%91t-khoai-tay-bi-d%E1%BB%8F-recipe-step-1-photo.jpg
2,2,https://img-global.cpcdn.com/steps/e8a5029fb0af4cba/160x128cq80/canh-ca-r%E1%BB%91t-khoai-tay-bi-d%E1%BB%8F-recipe-step-2-photo.jpg
3,3,https://img-global.cpcdn.com/steps/4ee490f4da089c44/160x128cq80/canh-ca-r%E1%BB%91t-khoai-tay-bi-d%E1%BB%8F-recipe-step-3-photo.jpg
4,4,https://img-global.cpcdn.com/steps/74d48a0537c3cfe8/160x128cq80/canh-ca-r%E1%BB%91t-khoai-tay-bi-d%E1%BB%8F-recipe-step-4-photo.jpg
5,5,https://img-global.cpcdn.com/steps/e5a939e6a9bc4809/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-1-photo.jpg
6,6,https://img-global.cpcdn.com/steps/e102668a8b1c4c07/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-2-photo.jpg
7,7,https://img-global.cpcdn.com/steps/1b08abce088457a6/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-3-photo.jpg
8,8,https://img-global.cpcdn.com/steps/54d80173fdd18753/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-4-photo.jpg
9,9,https://img-global.cpcdn.com/steps/4a4e6c0da603dc7e/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-5-photo.jpg
10,10,https://img-global.cpcdn.com/steps/70201752da450be5/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-6-photo.jpg
11,11,https://img-global.cpcdn.com/steps/87dc8d46598cd3e3/160x128cq80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-step-7-photo.jpg
12,12,https://img-global.cpcdn.com/steps/4b7736f2ad821ccb/160x128cq80/tep-d%E1%BB%93ng-rang-th%E1%BB%8Bt-recipe-step-1-photo.jpg
