StepId,RecipeId,StepNumber,StepText
1,1,1,Chuẩn bị các nguyên liệu sẵn sàng sạch sẽ để ráo
2,1,2,"Nấu sôi nước cho thịt đã ướp với gia vị: muối, hành tím. Tiếp theo cho cà rốt, khoai tây nấu 5 phút rồi cho bí đỏ vào, đợi sôi lên lại vớt thật sạch bọt nếu có"
3,1,3,"Khi canh chín thì nêm nếm lại cho vừa khẩu vị, thả hành lá vào"
4,1,4,Múc canh ra tô
5,2,1,"Đầu tiên mọi người băm nhỏ hoặc giã nhuyễn tỏi, ớt và sả nhé. Ở đây mình dùng ớt sừng vì mình thấy mắm nêm Thuận Phát cũng hơi cay rồi."
6,2,2,"Dứa thì xát muối sau đó rửa sạch, cắt khúc và cho vào xay nhuyễn"
7,2,3,"Mọi người cho ít dầu vào chảo, xào hỗn hợp tỏi,ớt, sả ở lửa nhỏ cho đến khi vàng thơm thì đổ dứa xay nhuyễn vào xào"
8,2,4,Thêm 3 thìa đường (thìa ăn cơm như ảnh) vào đảo đều. Xào tầm 5 phút
9,2,5,"Cuối cùng là thêm khoảng 80g mắm nêm và 2 thìa nước lọc vào đun thêm khoảng 2-3 phút nữa là tắt bếp, để nguội"
10,2,6,"Hôm nay mình không có thịt heo nướng mà thay vào đó là nầm nướng,ăn cũng rất ngon!!"
11,2,7,Tadaaaa!! Vậy là chúng ta đã có món nước chấm thần thánh cho món cuốn. Cùng mình làm thử và feedback lại nha 🫶
12,3,1,"Tép đồng cắt bỏ bớt phần râu dài, rửa qua rổ vài lần cho sạch và nhanh ráo nước. Phi thơm đầu hành, cho tép vào đảo đều rồi cho thịt rang vào đảo tiếp, thêm ít nước và nước mắm nếu phần tôm thịt quá khô"
13,3,2,Rang cho nước rút bớt thì thêm hành lá cắt nhỏ
14,3,3,Cuối cùng thêm ít tiêu xay và tỏi phi
15,4,1,Củ cải kho lạt
16,4,2,Đậu phụ cuộn rong biển chiên
17,4,3,Canh rau ngót nấu nấm (hoặc chân nấm)
18,4,4,Mâm cơm dành cho 2 - 3 người ăn.
19,5,1,"Đùi gà nhờ người bán lóc xương, bóp muối rửa sạch và ướp với các gia vị trên trong 60 phút"
20,5,2,"Cho mặt thịt vào nồi chiên không dầu, bật 160° 20 phút"
21,5,3,"Quay mặt da lên, bật tiếp 160° 10 cho gà chín, sau đó tăng lên 180° 2 phút cho da gà vàng óng là xong"
22,6,1,Gà ướp với gia vị và sữa chua không đường trong 30’-1h
23,6,2,"Trộn gia vị,lá thơm,bột bắp,bột nở vào 1 cup bột mì vào trộn đều,chia làm đôi một phần nước một phần khô."
24,6,3,"Lăn gà đã ướp qua 1/2 cup bột mì còn lại.Nếu còn dư thì trộn với bột khô lun.Cho rượu,soda vào phần bột ướt,cho thêm vài cục đá cho bột lạnh,khuấy đều.Lăn qua bột ướt,sau đó lăn tiếp bột khô đã trộn gia vị.Chiên lần 1 khoảng 5’ với lửa vừa,để nguội 20’ chiên lần 2 thêm 5’.Có thể chiên lần 1 7-8’ ăn liền cũng được nhưng chỉ giòn 3-5 tiếng.Muốn giòn qua đêm thì chiên lần 2.Dùng nóng"
25,6,4,"Thành quả giòn qua đêm lun, hâm nóng lại vẫn giòn"
26,7,1,Thịt nọng heo nướng
27,7,2,Dọn kèm cơm trắng và rong biển ăn liền
28,7,3,Thêm chén canh rong biển nấu thịt xay
29,8,1,Ba rọi rim cà chua
30,8,2,Đuôi heo luộc chấm nước mắm chua ngọt
31,8,3,Canh đuôi heo nấu bí xanh
32,8,4,Bữa cơm gia đình với các món ăn từ thịt heo
33,9,1,"Chuẩn bị nguyên liệu: Cho trứng gà ra chén tách lấy phần lòng trắng, còn lòng đỏ để làm món khác"
